เลขที่ T/O,เลขที่ TR,หมายเลขอ้างอิง,PO Number,รหัสสินค้า,สินค้า,จำนวน,Sale Unit,จำนวน,Base Unit,คงเหลือ (Sale Unit),คงเหลือ (Base Unit),วันที่ต้องการให้ขน,เวลาต้องการให้ขน,วันที่ Completed,เวลา Completed,ความสำคัญ,Location Delivery Type,รหัสลูกค้า,ชื่อลูกค้า,รหัสสถานที่ขนต้นทางจริง,สถานที่ขนต้นทางจริง,รหัสสถานที่รับปลายทางจริง,สถานที่รับปลายทางจริง,TiHi,Pallet,Portion Pallet,สถานะ,เหตุผลที่ Rejected,สร้างโดย,วันที่สร้างเอกสาร,เวลาสร้างเอกสาร,Channel,Product List,วันที่ลูกค้าต้องการ,เวลาลูกค้าต้องการ,วันที่ Sale ยืนยัน,เวลา Sale ยืนยัน,หมายเหตุ Plan,ประเภทรถ,Batch,ทะเบียนรถ,พนักงานขับรถ,Engineering Change,PO_Type
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,319900232,แรงเยอร์ 150 ซีซี,20,กล่อง,0,ขวด,20,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,80,12,40,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS770113,เอส เพลย์ เกรปเบอร์รี่ 359 ซีซี Pack12x1,20,ลัง,0,ขวด,20,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,150,1,90,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS706109,เอส สตอเบอรรี่ 1Ltr 12NR,1,ลัง,0,ขวด,1,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,6,2,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS706125,เอส เพลย์ ซอลตี้ลิ้นจี่ พลัสวิตามินบี 1 ลิตร,3,ลัง,0,ขวด,3,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,6,6,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS706107,เอส ส้ม 1Ltr 12NR,1,ลัง,0,ขวด,1,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,6,2,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS706106,เอส โคล่า 1Ltr 12NR,4,ลัง,0,ขวด,4,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,6,8,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030120,OS-OMSAP-2505030590,CV08-TG6805-0241,,ZS719402,น้ำคริสตัล 350 ซีซี.,200,ลัง,0,ขวด,0,0,,,13/05/2025,14:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7573,ศูนย์กระจายสินค้าภูมิภาค สุราษฎร์ธานี,4608G012,CV สิชล-G,17,141,3,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:47:55,,,,,,,
TO2505030120,OS-OMSAP-2505030590,CV08-TG6805-0241,,ZS770106,เอส โคล่า 359 cc Pack12x1,50,ลัง,0,ขวด,0,0,,,13/05/2025,14:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7573,ศูนย์กระจายสินค้าภูมิภาค สุราษฎร์ธานี,4608G012,CV สิชล-G,150,4,0,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:47:55,,,,,,,
TO2505030120,OS-OMSAP-2505030590,CV08-TG6805-0241,,ZS709402,น้ำดื่มคริสตัล 1.5Ltr 6NR,100,ลัง,0,ขวด,0,0,,,13/05/2025,14:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7573,ศูนย์กระจายสินค้าภูมิภาค สุราษฎร์ธานี,4608G012,CV สิชล-G,17,35,5,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:47:55,,,,,,,
TO2505030120,OS-OMSAP-2505030590,CV08-TG6805-0241,,ZS725402,น้ำดื่มคริสตัล 600cc 12NR,150,ลัง,0,ขวด,0,0,,,13/05/2025,14:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7573,ศูนย์กระจายสินค้าภูมิภาค สุราษฎร์ธานี,4608G012,CV สิชล-G,10,180,0,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:47:55,,,,,,,
